# ------------------------------------------------------------
# VO Data Model Summary
#   + Maps Spectral2.0 model element to Specturm1.1 Utypes
# ------------------------------------------------------------
Title=Spectrum Version 1.1
Name=Spectrum-1.1
Prefix=spec
URL=http://www.ivoa.net/xml/Spectrum/Spectrum-1.1.xsd
#
#
# Model Path                                                                                                                    & Type                     & Tag                                                                    & UCD                                           & Default                   & Unit                 & Description                              & REQ  
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  SpectralDataset                                                                                                               & SpectralDataset          & Spectrum                                                               &                                               &                           &                      &                                          &      
  SpectralDataset_DataModel                                                                                                     & String                   & Spectrum.Datamodel                                                     &                                               & Spectrum-1.0              &                      & Data model name and version              & MAN  
  SpectralDataset_Type                                                                                                          & String                   & Spectrum.Type                                                          &                                               & Spectrum                  &                      & Dataset or segment type                  & OPT  
  SpectralDataset_Length                                                                                                        & Long                     & Spectrum.Length                                                        & meta.number                                   &                           &                      & Number of points                         & OPT  
  SpectralDataset_FluxSI                                                                                                        & String                   & Spectrum.FluxSI                                                        &                                               &                           &                      & SI factor and dimensions                 & REC  
  SpectralDataset_SpectralSI                                                                                                    & String                   & Spectrum.SpectralSI                                                    &                                               &                           &                      & SI factor and dimensions                 & REC  
  SpectralDataset_TimeSI                                                                                                        & String                   & Spectrum.TimeSI                                                        &                                               &                           &                      & SI factor and dimensions                 & REC  
  SpectralDataset_CoordSys                                                                                                      & CoordSys                 & Spectrum.CoordSys                                                      &                                               &                           &                      &                                          &      
  SpectralDataset_CoordSys_ID                                                                                                   & String                   & Spectrum.CoordSys.ID                                                   &                                               &                           &                      & ID string for coordinate system          & OPT  
  SpectralDataset_CoordSys_CoordFrames[].CoordFrame_ID                                                                          & String                   & Spectrum.CoordSys.GenericCoordFrame.ID                                 &                                               &                           &                      & ID string for coordinate frame           & OPT  
  SpectralDataset_CoordSys_CoordFrames[].CoordFrame_Name                                                                        & String                   & Spectrum.CoordSys.GenericCoordFrame.Name                               &                                               &                           &                      & frame name                               & OPT  
  SpectralDataset_CoordSys_CoordFrames[].CoordFrame_UCD                                                                         & String                   & Spectrum.CoordSys.GenericCoordFrame.UCD                                & meta.ucd                                      &                           &                      & frame UCD                                & OPT  
  SpectralDataset_CoordSys_CoordFrames[].CoordFrame_ReferencePosition                                                           & String                   & Spectrum.CoordSys.GenericCoordFrame.RefPos                             &                                               & UNKNOWN                   &                      & Origin of Frame                          & OPT  
  SpectralDataset_CoordSys_CoordFrames[].SpaceFrame_ID                                                                          & String                   & Spectrum.CoordSys.SpaceFrame.ID                                        &                                               &                           &                      & ID string for coordinate frame           & OPT  
  SpectralDataset_CoordSys_CoordFrames[].SpaceFrame_Name                                                                        & String                   & Spectrum.CoordSys.SpaceFrame.Name                                      &                                               & ICRS                      &                      & ICRS or FK5                              & REC  
  SpectralDataset_CoordSys_CoordFrames[].SpaceFrame_UCD                                                                         & String                   & Spectrum.CoordSys.SpaceFrame.UCD                                       & meta.ucd                                      &                           &                      & Space frame UCD                          & OPT  
  SpectralDataset_CoordSys_CoordFrames[].SpaceFrame_ReferencePosition                                                           & String                   & Spectrum.CoordSys.SpaceFrame.RefPos                                    &                                               & UNKNOWN                   &                      & Origin of SpaceFrame                     & OPT  
  SpectralDataset_CoordSys_CoordFrames[].SpaceFrame_Equinox                                                                     & Double                   & Spectrum.CoordSys.SpaceFrame.Equinox                                   & time.equinox;pos.frame                        & 2000.0                    &                      & Equinox                                  & OPT  
  SpectralDataset_CoordSys_CoordFrames[].TimeFrame_ID                                                                           & String                   & Spectrum.CoordSys.TimeFrame.ID                                         &                                               &                           &                      & ID string for coordinate frame           & OPT  
  SpectralDataset_CoordSys_CoordFrames[].TimeFrame_Name                                                                         & String                   & Spectrum.CoordSys.TimeFrame.Name                                       & time.scale                                    & TT                        &                      & Timescale                                & OPT  
  SpectralDataset_CoordSys_CoordFrames[].TimeFrame_UCD                                                                          & String                   & Spectrum.CoordSys.TimeFrame.UCD                                        & meta.ucd                                      & time                      &                      & Time frame UCD                           & OPT  
