# -----------------------------------
# VO Data Model Summary
# -----------------------------------
Title=Spectrum Version 2.0
Name=Spectrum-2.0
Prefix=spec
URL=http://www.ivoa.net/xml/Spectrum/Spectrum-2.0.xsd
#
#
# Model Path                                                                                           & Type                     & Tag                                                                    & UCD                                           & Default                   & Unit                 & Description                              & REQ  
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  SpectralDataset_Char                                                                                 & Characterization         & Char                                                                   &                                               &                           &                      &                                          &      
  SpectralDataset_Char_FluxAxis                                                                        & CharacterizationAxis     & Char.FluxAxis                                                          &                                               &                           &                      &                                          &      
  SpectralDataset_Char_FluxAxis_Name                                                                   & String                   & Char.FluxAxis.Name                                                     &                                               & Flux                      &                      & name for flux axis                       & OPT  
  SpectralDataset_Char_FluxAxis_ucd                                                                    & String                   & Char.FluxAxis.ucd                                                      & meta.ucd                                      &                           &                      & ucd for flux                             & MAN  
  SpectralDataset_Char_FluxAxis_unit                                                                   & String                   & Char.FluxAxis.unit                                                     & meta.unit                                     &                           &                      & Unit for flux                            & MAN  
  SpectralDataset_Char_FluxAxis_CalibrationStatus                                                      & String                   & Char.FluxAxis.CalibrationStatus                                        &                                               & CALIBRATED                &                      & Type of coord calibration                & OPT  
  SpectralDataset_Char_FluxAxis_Accuracy                                                               & Accuracy                 & Char.FluxAxis.Accuracy                                                 &                                               &                           &                      &                                          &      
  SpectralDataset_Char_FluxAxis_Accuracy_StatError                                                     & Double                   & Char.FluxAxis.Accuracy.StatError                                       & stat.error;[FluxAxis.ucd]                     & NaN                       &                      & Statistical error                        & REC  
  SpectralDataset_Char_FluxAxis_Accuracy_SysError                                                      & Double                   & Char.FluxAxis.Accuracy.SysError                                        & stat.error.sys;[FluxAxis.ucd]                 & NaN                       &                      & Systematic error                         & REC  
  SpectralDataset_Char_FluxAxis_CoordSys                                                               & CoordSys                 & Char.FluxAxis.CoordSys                                                 &                                               &                           &                      &                                          &      
